AR Mean Wind (m/s)	AR Mean IWV (kg/m2)	AR Mean IVT (kg/m/s)	AR Mean Precip (mm/day)	Central Lon (deg)	Central Lat (deg)
13.576203738551216	34.28729248046875	385.343017578125	1.3312318909843013	344.709	27.497
26.52530448983166	47.62457275390625	1067.7130126953125	30.84680435505319	128.425	32.967
14.007792501771167	28.094770431518555	353.0075988769531	5.501158422353316	220.783	48.683
14.392173744729133	26.31340980529785	332.9836120605469	9.224057313972162	271.541	55.417
13.254827604901758	21.10269546508789	258.6201477050781	5.9205600400514244	148.08	58.722
15.241783705851862	22.281917572021484	302.98480224609375	8.201085596177185	34.53	60.72
8.033040617746451	43.112998962402344	312.2460021972656	6.402373825294384	201.062	25.959
7.915965159780556	31.084064483642578	244.9573211669922	5.36565846410291	19.883	33.169
17.552745059959257	41.622833251953125	557.3319702148438	11.399867466517858	178.709	35.763
19.81643313106528	29.49947738647461	519.691650390625	16.804721097333715	322.994	49.007
12.716344279905128	38.80054473876953	417.9222412109375	2.061483209783381	346.949	21.804
14.363025946379594	48.182533264160156	478.9786071777344	22.20870387300532	284.968	31.941
12.906405254286994	33.58771896362305	421.49249267578125	6.301480827844731	127.477	38.113
14.728082729186246	25.894107818603516	346.8285217285156	8.719427815273669	261.518	51.804
26.42514944715312	21.825700759887695	490.62908935546875	19.65271222149884	341.063	58.115
10.097274114175375	18.635644912719727	182.15963745117188	5.326310891544118	155.237	61.912
14.497708496189057	21.27991485595703	268.3218994140625	9.249815908325854	54.358	60.167
10.847785064180133	32.65575408935547	315.8434143066406	4.649390742463885	21.288	32.014
15.797347896551615	41.848880767822266	500.1358337402344	9.322220512058424	178.99	34.571
11.706831816272182	37.19955062866211	384.2167663574219	2.0159192152426275	342.501	23.366
11.670173530062295	33.90473175048828	358.8489685058594	1.9386703491210937	35.16	22.965
12.210705003948139	26.989315032958984	316.8719482421875	9.677724984975962	132.91	45.099
15.063132586768576	23.162038803100586	309.27142333984375	10.291662647890947	272.779	51.054
13.327545819672123	18.403182983398438	215.60263061523438	5.989562292062738	76.286	60.047
20.450001419063152	17.222951889038086	320.37969970703125	14.053920310054773	2.854	64.711
12.021965973504859	17.603727340698242	202.7142333984375	3.5134911444400534	186.109	70.312
12.177262601619827	51.95191955566406	548.8438110351562	17.40888671875	170.089	22.265
19.037750715887025	22.749876022338867	403.30706787109375	6.851335844247347	146.493	49.717
13.69569048654502	17.15545654296875	212.08995056152344	5.76918178589876	95.456	60.031
15.649970249782095	25.30392074584961	326.2225646972656	6.332987467447917	313.653	55.329
18.35788044736448	16.988554000854492	273.89105224609375	4.972148128879796	31.887	63.962
15.210372538980277	19.426837921142578	281.17608642578125	9.777271027260639	197.401	61.319
20.43098586225501	49.54288101196289	814.5413208007812	8.546266660585509	240.8	20.995
12.591769231599232	32.98828125	467.89569091796875	0.5369868422999526	22.583	21.421
12.297404484662513	50.92271041870117	587.87646484375	15.202129657451923	172.613	23.524
15.381482029203715	26.062477111816406	356.8345031738281	6.9003231909967235	278.057	49.134
15.776354141664365	43.98212814331055	613.760009765625	3.615167236328125	237.986	23.099
11.14427749501139	29.947803497314453	272.2071228027344	2.1827967875712626	5.164	33.444
15.753516874983855	19.882532119750977	301.5718078613281	4.650681801892202	161.38	52.575
14.310799846893014	16.503639221191406	213.21612548828125	3.1877566250887783	83.5	57.574
13.79804492962897	19.909502029418945	274.03619384765625	8.159927406406641	192.104	61.982
10.945051084558344	32.28868865966797	357.5877380371094	0.5844888051350912	20.005	20.039
13.874896466048812	49.00214385986328	632.1853637695312	18.998987416752048	177.29	24.997
11.929902990504631	33.70463180541992	353.27398681640625	2.1979948344983553	237.483	28.392
27.92070580749499	51.90616989135742	1208.3221435546875	34.439438215648856	126.438	27.065
13.231188606284011	28.052644729614258	334.4251403808594	16.330449318399236	302.13	51.823
13.13763917310328	20.082944869995117	254.63690185546875	6.5236697576742255	194.999	58.981
16.472728857182855	46.666263580322266	757.1762084960938	21.623432821856287	179.003	26.08
7.539214712322614	21.230466842651367	150.87109375	1.9264759350848455	100.555	39.331
